"time","text","replies","retweets","likes","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
2018-05-23,"consumer repos bought  second one  problems   first  found similar problems

fix  car",0,8,26,0,0,0,0,1,0,0,1,0,1
2018-05-23," case youre wondering   

 bet    thread  

  underlying work  crew  uncovering serious safety concerns  1",1,9,20,0,0,0,1,0,1,0,1,1,0
2018-05-23,"hey",0,23,40,0,0,0,0,0,0,0,0,0,0
2018-05-23," sounds like  great plan thank    can ever ask    consideration umand  p3d1216 weeks  go",29,9,690,0,1,0,0,0,0,0,0,0,0
2018-05-23,"perhaps dear",2,13,48,0,0,0,0,0,0,0,0,0,1
2018-05-23," hit pieces ",3,3,33,1,0,0,0,0,0,0,0,1,0
2018-05-23,"  really think thats  hes   tear edmunds    problemit never occurred     referencing honest critical reviews  journalists   think     bunch  undeserved fud   happy  point     ",2,4,28,1,1,1,1,2,1,0,2,0,2
2017-10-04,"elon musk  first order  business   try  must try   brain hus",0,22,33,0,0,0,0,0,0,0,0,0,0
2018-05-23,"dear",107,799,2400,0,0,0,0,0,0,0,0,0,1
2018-05-23,"also  anyone  hasnt seen  details    happening  workers",3,5,49,0,0,0,0,0,0,0,0,0,0
2018-05-23,"border police officer  montenegro taking  test drive   model 3  launched   explaining   colleague   hes slacking ",0,2,37,0,0,0,1,0,0,0,2,0,3
2018-05-23,"hey ",9,9,52,0,0,0,0,0,0,0,0,0,0
2018-05-23,"tx encuentra las 22 diferenciasmayo 2016mayo 2018",2,17,56,0,0,0,0,0,0,0,0,0,0
2018-05-23," 2 years  2 months   ordered   ",16,6,103,0,0,0,0,0,0,0,0,0,0
2018-05-24,"",0,9,15,0,0,0,0,0,0,0,0,0,0
2018-05-24,"",3,20,36,0,0,0,0,0,0,0,0,0,0
2018-05-24,"uaw filed  complaint ",0,21,80,1,0,0,0,0,0,0,0,1,0
2018-05-24," got  see  power wall  action  tuesdays thunderstorm     one  neighborhood  power",2,4,52,0,1,0,0,0,0,0,0,0,1
2017-10-05,"thank  just  elon musk offers   tesla rebuild pueo ricos power grid",0,15,27,0,0,0,0,0,0,0,0,0,0
2018-05-24,"$tslaqelon  acting just like trump hes completely deranged $tsla  still  zero

reality",2,7,26,1,0,1,1,0,0,1,0,1,1
2018-05-24," ",0,5,11,0,0,0,0,0,0,0,0,0,0
2018-05-24,"    oldest",0,8,29,0,0,0,0,0,0,0,0,0,0
2018-05-24," system   designed  ale  operator hey",0,5,12,0,0,0,0,0,0,0,1,0,0
2018-05-25," hope  ice peak  near d",11,14,77,0,1,0,0,1,0,1,1,0,1
2018-05-25,"  people    stock shoed   salty   spouse wont let  buy one",1,0,84,0,1,0,0,1,0,0,1,0,1
2018-05-25,"2nd upgrade  3 days

v81 20181813 6a8ao6e new
v81 20181813 o4dfd3c

 notes media brights chill

phone keyacceleration back

711 bugs died  testrip



thx 
",2,2,35,0,0,0,0,0,0,0,0,0,0
2018-05-25,"
cant wait  see 

will  beat",3,1,45,0,1,0,0,0,0,0,0,1,0
2018-05-25," four zone 3 throughput  solved  couple  weeks ago",17,32,661,0,0,0,0,0,0,0,0,0,0
2018-05-25,"   black cars   similarity     black",2,0,184,0,0,0,0,0,1,0,0,1,0
2012-07-06,"   glowing recommendation  ",0,0,0,0,0,0,0,0,0,0,0,0,1
2017-10-05," carbon  first wa tesla   first supercharger",0,4,8,0,0,0,0,0,0,0,0,0,0
2018-05-25,"model 3  designed  min engineeringtooling change  rhd note leftright symmetry lhd  europeasia first half  next year rhd probably middle  next year",32,43,566,0,0,0,1,1,0,0,1,0,2
2018-05-25,"thank   confirming  thats three   four zones nailed 

elon  cheering    europe",3,8,170,0,0,0,0,1,0,0,0,0,1
2018-05-25,"  just happened 

elon replied  itll  soed 

 wish everything   easy ",1,15,66,0,0,0,0,0,0,0,0,0,0
2018-05-25,"last week  repoed   

today6 planes just flew  europe  california headed  tesla

grohmann automation  robots  giga   cargo surely

 sound  heard   time next week",5,49,488,0,1,0,0,0,0,0,0,0,0
2018-05-25,"hot   press",2,8,22,1,0,0,0,0,0,0,0,0,0
2018-05-25,"superchargers  amazing",43,49,736,0,0,0,0,0,0,0,0,0,0
2018-05-25,"   wrong",1,6,17,0,0,0,0,0,0,0,0,1,0
2018-05-25,"",225,648,12000,0,0,0,0,0,0,0,0,0,0
2018-05-25,"  exactly   first impression matt even   high expectations going    really floored",5,2,132,0,0,0,0,0,0,0,0,0,1
2018-05-25,"   new production line  battery module zone 4 will play  key role  getting  3000week  6000week  model 3",77,176,3100,1,1,0,0,0,0,0,0,1,2
2017-10-06," interesting one  will",0,6,4,0,0,0,0,0,0,0,0,0,1
2018-05-25,"fascinated   huge response   tweet  dear",2,1,12,0,0,0,0,0,0,0,0,0,1
2018-05-25,"playing",1,5,12,0,0,0,0,0,0,0,0,0,0
2018-05-26," tesla   usable reserve  5  15 miles range even   battery reads empty  will  hu  pack",18,42,576,1,0,0,0,0,0,0,0,1,1
2018-05-26," will raise awareness  well see  extent  will pursue  ",7,32,106,0,0,0,0,0,0,0,0,0,0
2018-05-26,"  real world usage    la $4428  1942 miles  cost  $352  gas   bought  gtr instead",3,4,88,0,0,0,0,0,0,0,1,0,1
2018-05-26," brakes   quite great enough fixed ota  <  week 

meanwhile",0,8,55,0,0,0,0,0,0,0,1,0,0
2018-05-26,"ahhh yes evs greatest flaw   able  drive 1600 miles   row   common     niche usecase",1,1,111,1,0,0,0,0,1,0,0,2,0
2018-05-26,"hi 
  attend  turkey market 

cause   us  dreams  wings 
 ",11,33,148,0,0,0,0,0,0,0,0,0,0
2018-05-26,"just spoke  abc regarding collision  stressful past 23 hours didnt even eat anything since yesterday lunch  reply ",8,4,26,1,0,0,0,0,0,0,0,2,1
2018-05-26,"amazing   make one negative comment ever    ive spent    decade touting  work  youve    suddenly im  evil elon hater",5,1,10,1,0,1,1,0,2,1,0,3,0
2017-10-06,"",25,146,1500,0,0,0,0,0,0,0,0,0,0
2018-05-26,"",1,5,27,0,0,0,0,0,0,0,0,0,0
2018-05-26,"",14,30,80,0,0,0,0,0,0,0,0,0,0
2018-05-26,"  psych ward know  smuggled   mobile phone",84,472,3000,0,1,0,0,0,0,0,0,0,0
2018-05-26,"pretty awesome 

now   raising  rest  need  install ",1,32,127,0,2,0,0,1,0,0,1,0,2
2018-05-26,"thats  good news end  2019 sounds  good  us  ready  collaborate  help",2,4,66,0,2,0,0,1,0,1,1,0,1
2018-05-26,"enli<U+0307>l generate electricity  using  winds created   vehicles",5,12,55,0,0,0,0,0,0,0,0,0,1
2018-05-26,"   talking  youre  incredibly rudenonsensical",29,23,799,0,0,0,0,0,0,0,0,0,0
2018-05-26,"    continue   suppoive   work   personal attacks  women   something im going  ignore  still believe   spacex  tesla     doesnt mean    pat elon   back  every turn",29,0,91,0,1,0,0,0,0,0,2,1,1
2018-05-26,"woh reading  whole piecebut   suppo  excerpt   essay whether musk realises hes     hes playing   forces contributing   deepening  rot  produce   polity",2,7,34,0,0,1,1,0,1,0,0,1,1
2018-05-26,"stop trying  charm   wont work ok maybe  littleare   real person   bot",18,29,795,0,1,0,0,0,0,0,1,0,2
2017-10-06," whatever  woh heres  model x review  actual car",2,1,44,0,0,0,0,0,0,0,0,0,2
2018-05-26,"gwynne   prez  spacex  10 yearswelldeserved
meet mechanical engineer  mathematician gwynne shotwell president  chief operating officer  spacex inducted  ",9,40,593,0,0,0,0,0,0,0,2,0,2
2018-05-26,"current",67,184,1900,0,0,0,0,0,0,0,0,0,0
2018-05-26," pain will end",46,124,644,0,0,0,1,0,1,0,0,1,0
2018-05-27,"ps    disappointing  almost everyone  know   new field admires  make  case  promote good stories buy  media company  effective intimidation  beneath ",8,13,91,1,1,0,2,1,2,1,2,3,2
2018-05-27," dont know whether  story  complain   false  true  focus  treason  business   threatening  rate journalists  using  story ",4,15,85,3,0,2,2,0,1,1,0,3,1
2018-05-27," things  going well",2,1,13,0,0,0,0,0,0,0,0,0,0
