"time,text,replies,retweets,likes"
"2017-02-01,""Tesla Motors is now, officially, just Tesla http://cnb.cx/2kqSOzh "",1,15,20"
"2017-02-02,Elon Musk says he will object to Trump's immigration order http://cnb.cx/2kY0QjN ,19,37,65"
"2017-02-06,Elon Musk's Tesla and SpaceX join brief against Trump travel ban http://cnb.cx/2lhri49 ,5,21,35"
"2017-02-06,Op-ed: Elon Musk is becoming Trump's 'crony capitalist' http://cnb.cx/2kjfSPF ,13,14,14"
"2017-02-06,Elon Musk says activists should be happy that he’s advising President Trump http://cnb.cx/2leM6Jn ,5,13,29"
"2017-02-06,Op-ed: Elon Musk is becoming Trump's 'crony capitalist' http://cnb.cx/2kFdWlB ,2,7,11"
"2017-02-07,Tesla's top-end Model S is even quicker than the company advertised http://cnb.cx/2kJqkkt ,0,15,14"
"2017-02-07,""Daily routines of Tesla, Mozart, Hemingway, Woody Allen, Maya Angelou and more http://cnb.cx/2llstj2 "",0,11,24"
"2017-02-08,Tesla aims to start pilot production of Model 3 cars on Feb. 20: Sources http://cnb.cx/2k4EhtC ,4,12,27"
"2017-02-09,""Buy Tesla before earnings for Model 3 and Gigafactory updates, Baird says. http://cnb.cx/2lvfWKL "",5,17,14"
"2017-02-09,Tesla stock jumps as company pauses factory to prepare for Model 3 production http://cnb.cx/2kraqI0 ,0,8,19"
"2017-02-10,Elon Musk vehemently rejects employee claims of poor working conditions at Tesla http://cnb.cx/2kzHi3T ,7,7,11"
"2017-02-13,""Tesla shares hit 52-week high, less than 4 percent from all-time record http://cnb.cx/2kjY3Bp "",2,23,25"
"2017-02-13,Elon Musk: Humans must merge with machines or become irrelevant in AI age http://cnb.cx/2lbndS3 ,19,64,65"
"2017-02-13,Y Combinator president and eBay founder join Elon Musk in addressing crisis of robots taking jobs http://cnb.cx/2lITfTr ,4,18,10"
"2017-02-13,Elon Musk: Humans must merge with machines or become irrelevant in AI age http://cnb.cx/2l6Y0Zf ,91,331,438"
"2017-02-13,This is the one question Elon Musk asks in every job interview http://cnb.cx/2lbgnfk ,1,18,15"
"2017-02-15,""Elon Musk accidentally tweets immigration ban 'is not right,' then deletes them http://cnb.cx/2kzpMtb "",6,24,17"
"2017-02-15,Billionaire Ron Baron expects mindboggling returns from Elon Musk-led Tesla http://cnb.cx/2kqhx7E ,0,7,23"
"2017-02-16,""Sell Tesla on solar and Model 3 earnings risks, UBS says http://cnb.cx/2kNJ13c "",2,12,6"
"2017-02-21,Billionaire Elon Musk credits his success to these 8 books http://cnb.cx/2lrjJZR ,0,42,90"
"2017-02-22,Why Tesla could surge to new highs on earnings http://cnb.cx/2l0kLKs ,3,20,17"
"2017-02-22,EARNINGS: Tesla Q4 Loss ($0.69); Q4 Revs. $2.28B vs. $2.18B Est. • $TSLA http://www.cnbc.com/2017/02/22/tesla-earnings-q4-2016.html …pic.twitter.com/ZIunBkC4og,0,11,8"
"2017-02-22,Tesla results: Loss of 69 cents per share on revenue of $2.28 billion http://cnb.cx/2lMyXLC ,3,18,16"
"2017-02-22,Tesla expects to volume production of Model 3 by September  http://cnb.cx/2l9CKyN ,1,14,9"
"2017-02-22,""Tesla Model S and Model X growth stories are 'over,' portfolio manager says. http://cnb.cx/2l9DtjK "",1,12,12"
"2017-02-22,NEW: Elon Musk says Tesla's chief financial officer will leave the company; Deepak Ahuja will fill the role. $TSLA,6,22,31"
"2017-02-22,Musk: Tesla may raise more capital to 'reduce risk' http://cnb.cx/2lr77DG ,1,11,11"
"2017-02-23,""How Richard Branson, Warren Buffett, Elon Musk and 13 other leaders start the day http://cnb.cx/2mhRsVy "",7,5,16"
"2017-02-23,Why @JimCramer says Elon Musk’s Tesla smacks of the same wild approach as … Amazon http://cnb.cx/2lwSLkZ ,1,22,16"
"2017-02-23,Tesla stock opens down after earnings http://cnb.cx/2l3Yn2R ,0,4,8"
"2017-02-27,""Sell Tesla because Model 3 sales will disappoint next year, Goldman Sachs says http://cnb.cx/2lqG20U "",7,15,19"
"2017-02-28,The technical reason why Tesla shares could soon rise 54 percent. http://cnb.cx/2luu6ev ,1,8,15"
"2017-03-01,""Tesla sued over alleged """"pervasive harassment,"""" gender discrimination http://cnb.cx/2lyYOmY "",3,15,12"
"2017-03-01,""If Bill Gates could start a business with Elon Musk, here’s what he'd want to do http://cnb.cx/2ls3fin "",4,17,16"
"2017-03-02,A 5th-grader wrote a letter to Elon Musk about a business idea—here's how the billionaire responded http://cnb.cx/2lxp1kJ ,1,17,28"
"2017-03-03,""Tesla will need $8 billion to make US Supercharger network rival gas stations, says analyst http://cnb.cx/2lnbCAy "",8,22,36"
"2017-03-06,Tunnel vision? Elon Musk’s tweet teases a cap for his ‘Boring Company’  http://cnb.cx/2maorvi ,1,5,11"
"2017-03-06,What launching Tesla taught Elon Musk’s brother to never do again http://cnb.cx/2lTdTzE ,0,5,2"
"2017-03-07,"".@JimCramer: Tesla’s charts show a bumpy road ahead while Ford, GM race forward http://cnb.cx/2lBOi26 "",7,14,16"
"2017-03-09,How a Craigslist post landed me my first job at Tesla http://cnb.cx/2naZcJm ,2,10,25"
"2017-03-09,""Tesla stock is 'fairly valued' right now, but near term challenges remain, says Bernstein analyst http://cnb.cx/2n4bkPE "",0,4,3"
"2017-03-09,""Tesla could eventually become the next Apple or Amazon, AllianceBernstein predicts http://trib.al/blkDvAG "",6,19,30"
"2017-03-09,Elon Musk’s hyperloop vision takes a step closer to reality as firm reveals pictures of test track http://cnb.cx/2n2KKGv ,4,45,47"
"2017-03-10,""Elon Musk just offered to fix South Australia's energy problems, but the deal comes with a twist http://cnb.cx/2m7Blsg "",2,14,19"
"2017-03-10,Elon Musk has offered to fix this region’s energy problems for free http://cnb.cx/2n69FJk ,5,20,29"
"2017-03-10,""Tesla: Will apply 'brute force' to fix service issues at 3rd party shops, add 300 more locations http://cnb.cx/2m97T5q "",0,6,10"
"2017-03-10,""Billionaire innovator Elon Musk is a 'force of nature,' Trump infrastructure advisor says http://cnb.cx/2mrrAXL "",4,21,24"
"2017-03-13,South Australia's plans to fix its power crisis could involve Elon Musk http://cnb.cx/2mlQKW1 ,1,12,16"
"2017-03-14,Elon Musk’s pledge to fix South Australia’s energy issues prompts Ukrainian PM to get in touch http://cnb.cx/2n48Mk1 ,2,18,23"
"2017-03-14,Elon Musk's SpaceX has landed a $96.5 million contract to launch a military satellite http://cnb.cx/2n7JBNx ,2,22,26"
"2017-03-15,Buzz Aldrin says this is the problem with Elon Musk’s plans for Mars http://cnb.cx/2mtcI9E ,5,12,20"
"2017-03-15,BREAKING: Tesla announces common stock offering of $250 million http://cnb.cx/2ntu7AS ,4,43,26"
"2017-03-16,""Tesla shares are still a sell after capital raise, UBS says http://cnb.cx/2nw0aQM "",2,3,5"
"2017-03-16,""Tesla looks good in 2020 despite near-term risks, says analyst http://cnb.cx/2mzpmF3 "",2,14,21"
"2017-03-17,Tesla will discontinue least expensive Model S. http://cnb.cx/2nOet2g ,2,7,18"
"2017-03-21,""Chevy Bolt discounting proves its 'dead,"""" says Tesla bull http://cnb.cx/2mRH4Uo "",2,6,6"
"2017-03-21,Elon Musk’s brother is waging war on America's food system — here’s what he eats instead http://cnb.cx/2n9IQ64 ,2,9,20"
"2017-03-22,Elon Musk slams Donald Trump's NASA bill saying it does nothing to help mission to Mars http://cnb.cx/2mOSrLY ,7,37,46"
"2017-03-24,Elon Musk is tweeting a lot about the Model 3 http://cnb.cx/2mzugWF ,2,6,15"
"2017-03-24,Tesla will begin taking solar shingle orders next month http://cnb.cx/2n2fDXT ,0,49,62"
"2017-03-27,Elon Musk is founding another company and it plans to merge human brains with AI http://cnb.cx/2npDnGE ,2,41,41"
"2017-03-27,Trump plans new office to fix government with business ideas and its already working with Tim Cook and Elon Musk http://cnb.cx/2nr24Uy ,3,21,21"
"2017-03-27,""This is Tesla’s opportunity to steal market share, Morgan Stanley analyst says. http://cnb.cx/2nooPqO "",0,15,21"
"2017-03-27,Full interview with Morgan Stanley's Adam Jonas on the future of Tesla. http://cnb.cx/2noDm5S ,1,12,12"
"2017-03-27,Elon Musk is founding another company. http://cnb.cx/2nb4BzR ,5,36,30"
"2017-03-28,Tesla deal boosts Chinese presence in US auto tech http://cnb.cx/2nswDHZ ,1,7,16"
"2017-03-28,Tesla's China business is booming http://cnb.cx/2nwM6IT ,1,32,25"
"2017-03-28,Tencent Holdings reports 5% passive stake in Tesla; $TSLA shares up 3.4% in pre-market.http://www.cnbc.com/quotes/?symbol=tsla …,1,15,6"
"2017-03-28,Tesla rejects racial harassment lawsuit filed by assembly line worker http://cnb.cx/2ndQFoC ,3,6,9"
"2017-03-29,Op-Ed: How Elon Musk’s Neuralink could end up hurting average Americans http://cnb.cx/2oykfFN ,4,4,9"
"2017-03-29,Op-Ed: How Elon Musk’s Neuralink could help the rich get richer http://cnb.cx/2njf4tb ,4,10,12"
"2017-03-29,""Tesla’s about to make a record high, and here’s how I’m cashing in: Trader http://cnb.cx/2oc1NXp "",2,6,5"
"2017-03-30,SpaceX chief Musk sets new bar on reusable rocket engine http://cnb.cx/2oh5uLp ,1,26,40"
"2017-04-02,""Tesla beats expectations, delivering a record 25,000 vehicles in Q1 http://cnb.cx/2oyzqQf "",5,58,98"
"2017-04-03,Tesla shares hit all-time high after strong deliveries numbers http://cnb.cx/2nAOgo8 ,5,29,20"
"2017-04-03,Elon Musk trolls Tesla short sellers http://cnb.cx/2n4SIQ7 ,2,12,16"
"2017-04-03,Neil deGrasse Tyson says he won't board SpaceX until Elon Musk sends his mom to Mars and back http://cnb.cx/2otx3Bs ,6,21,41"
"2017-04-04,This chart shows why ‘there’s still food on the table’ for Tesla shares http://cnb.cx/2nSCTJ6 ,2,11,11"
"2017-04-04,Cramer: Elon Musk's Tesla needs to make a lot more cars to justify its sky-high stock price http://cnb.cx/2oxtw4W ,5,8,11"
"2017-04-04,Tesla shares break $300 for the first time http://cnb.cx/2o5YiB4 ,5,38,54"
"2017-04-04,Trump adviser Cohn touts Elon Musk's infrastructure solution: Tunnels http://cnb.cx/2nAHluq ,6,3,7"
"2017-04-05,Tesla's multi-trillion dollar opportunity http://cnb.cx/2nYrEyZ ,0,18,31"
"2017-04-06,""Tesla bulls are stuck in the Matrix, says analyst http://cnb.cx/2o6IayO "",1,4,6"
"2017-04-06,Cramer Remix: How Tesla’s haters could get run over http://cnb.cx/2o7Vwed ,0,4,3"
"2017-04-07,These Chinese electric-car bets are racing to catch Tesla http://cnb.cx/2nlkSGE ,18,6,9"
"2017-04-09,""Tesla denies report it is planning to open a factory in Guangdong, China http://cnb.cx/2ogLx67 "",0,14,15"
"2017-04-10,""BREAKING: Tesla briefly passes General Motors in market capitalization to become the most valuable U.S. auto maker http://data.cnbc.com/quotes/tsla,GM "",9,112,98"
"2017-04-10,This chart shows why Tesla’s big rally may just be getting started. http://cnb.cx/2oZTZFp ,1,9,10"
"2017-04-10,""JUST IN: Trump to meet with about 20 CEOs tomorrow including those of GM, Tesla, IBM, Wal-Mart, Pepsico, BlackRock and BlackStone - Reuters"",7,47,46"
"2017-04-10,Tesla just got its highest price forecast ever from a major Wall Street analyst http://cnb.cx/2oQXS2D ,2,21,26"
"2017-04-10,""As Tesla's value soars, so does Elon Musk's fortune. http://cnb.cx/2oRKRpm "",3,14,23"
"2017-04-11,AutoNation CEO says Tesla's valuation is 'inexplicable'  http://cnb.cx/2ovTOnw ,1,14,16"
"2017-04-12,""A step ahead of Elon Musk, this self-made millionaire already launched a company to merge your brain with computers http://cnb.cx/2o5IMRM "",4,24,20"
"2017-04-12,""Tesla may be soaring, but Elon Musk's business model is doomed, says former GM vice chairman Lutz http://cnb.cx/2o6izCN "",8,10,17"
"2017-04-12,Tesla investors urge board changes to prevent dysfunction http://cnb.cx/2p8Tedb ,0,5,5"
