"year" "month" "day" "dailyLikes" "dailyReplies" "dailyRetweets"
"242" "2018" "09" "25" 62000 2900 3300
"243" "2018" "09" "26" 10000 244 1700
"244" "2018" "09" "28" 270000 6177 28900
"245" "2018" "10" "01" 59000 2181 7200
"246" "2018" "10" "03" 21000 424 2447
"247" "2018" "10" "04" 169300 7925 19981
"248" "2018" "10" "05" 54600 2263 6176
"249" "2018" "10" "06" 58400 1726 7312
"250" "2018" "10" "07" 317900 3858 44341
"251" "2018" "10" "08" 176000 3252 25138
"252" "2018" "10" "09" 67000 2200 11200
"253" "2018" "10" "10" 33000 1200 3300
"254" "2018" "10" "12" 291300 8342 47100
"255" "2018" "10" "13" 7700 126 1100
"256" "2018" "10" "14" 348000 15600 85000
"257" "2018" "10" "15" 82000 2531 9299
"258" "2018" "10" "16" 74000 2771 5607
"259" "2018" "10" "17" 128000 3941 11596
"260" "2018" "10" "18" 107000 5460 9162
"261" "2018" "10" "19" 1200000 18000 401000
"262" "2018" "10" "21" 406000 9094 65000
"263" "2018" "10" "22" 933400 21561 205112
"264" "2018" "10" "23" 78000 2301 4700
"265" "2018" "10" "24" 390000 3500 87000
"266" "2018" "10" "25" 1130000 78666 146642
"267" "2018" "10" "26" 295500 6127 29323
"268" "2018" "10" "29" 175000 5400 11400
"269" "2018" "10" "31" 577000 6611 100700
"270" "2018" "11" "01" 84600 1913 12100
"271" "2018" "11" "02" 450300 8536 52975
"272" "2018" "11" "03" 223000 6100 26100
"273" "2018" "11" "06" 606400 17253 57813
"274" "2018" "11" "07" 71800 2326 3513
"275" "2018" "11" "08" 80000 24420 4627
"276" "2018" "11" "09" 153000 3076 18600
"277" "2018" "11" "10" 249100 4514 57100
"278" "2018" "11" "11" 28000 830 3300
"279" "2018" "11" "12" 480000 2004 94100
"280" "2018" "11" "13" 47600 810 5200
